game,shots,goals
1,15,3
2,24,6
3,12,2
4,9,0
5,16,2
6,10,2
7,19,5
8,17,2
9,28,5
10,24,4
11,13,3
12,15,2
13,39,5
14,19,2
15,32,3
16,17,2
17,21,2
18,5,0
19,16,3
20,14,2
21,15,1
22,8,1
23,25,9
24,21,5
25,25,5
26,19,2
27,25,5
28,12,0
29,4,0
30,3,0
