game,shots,goals
1,24,2
2,30,4
3,28,3
4,22,3
5,44,9
6,36,5
7,18,2
8,23,3
9,22,2
10,13,2
11,20,6
12,31,7
13,9,1
14,28,5
15,28,5
16,29,2
17,26,5
18,12,1
19,20,2
20,12,0
21,12,2
22,17,4
23,25,4
24,35,7
25,18,1
26,23,3
27,25,5
28,26,6
29,25,2
30,31,5
31,29,5
32,21,4
33,35,5
34,13,3
35,12,2
36,23,4
37,21,3
40,18,2
41,25,5
42,11,0
43,12,1
44,19,4
45,15,3
46,7,0
47,21,3
48,20,2
49,25,2
50,20,3
51,21,4
52,26,1
53,27,2
54,42,4
